work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,Mid,FT,Research Scientist,208000,USD,208000.0,US,0,US,M
2025,Mid,FT,Research Scientist,147000,USD,147000.0,US,0,US,M
2025,Senior,FT,Research Scientist,173000,USD,173000.0,US,0,US,M
2025,Senior,FT,Research Scientist,117000,USD,117000.0,US,0,US,M
2025,Mid,FT,AI Engineer,100000,USD,100000.0,US,100,US,M
2025,Mid,FT,AI Engineer,80000,USD,80000.0,US,100,US,M
2025,Senior,FT,AI Engineer,338500,USD,338500.0,US,0,US,M
2025,Senior,FT,AI Engineer,161700,USD,161700.0,US,0,US,M
2025,Senior,FT,Manager,293000,USD,293000.0,US,0,US,M
2025,Senior,FT,Manager,213000,USD,213000.0,US,0,US,M
2025,Entry,FT,Business Intelligence Developer,76000,USD,76000.0,US,0,US,M
2025,Senior,FT,Software Engineer,180000,USD,180000.0,US,0,US,M
2025,Senior,FT,Software Engineer,145000,USD,145000.0,US,0,US,M
2025,Entry,FT,Data Scientist,120000,USD,120000.0,US,100,US,M
2025,Entry,FT,Data Scientist,100000,USD,100000.0,US,100,US,M
2025,Mid,FT,Manager,329600,USD,329600.0,US,0,US,M
2025,Mid,FT,Manager,190700,USD,190700.0,US,0,US,M
2025,Senior,FT,Research Engineer,296300,USD,296300.0,US,0,US,M
2025,Senior,FT,Research Engineer,166600,USD,166600.0,US,0,US,M
2025,Mid,PT,Data Specialist,44000,USD,44000.0,US,0,US,M
2025,Mid,PT,Data Specialist,36000,USD,36000.0,US,0,US,M
2025,Senior,FT,AI Architect,400000,USD,400000.0,US,0,US,M
2025,Senior,FT,AI Architect,170000,USD,170000.0,US,0,US,M
2025,Senior,FT,Business Analyst,61920,EUR,65178.0,LT,0,LT,M
2025,Senior,FT,Business Analyst,41280,EUR,43452.0,LT,0,LT,M
2025,Senior,FT,Manager,211000,USD,211000.0,US,0,US,M
2025,Senior,FT,Manager,142000,USD,142000.0,US,0,US,M
2025,Senior,FT,Machine Learning Engineer,310000,USD,310000.0,US,0,US,M
2025,Senior,FT,Machine Learning Engineer,160000,USD,160000.0,US,0,US,M
2025,Entry,FT,Data Analyst,86100,USD,86100.0,US,0,US,M
2025,Entry,FT,Data Analyst,75000,USD,75000.0,US,0,US,M
2025,Mid,FT,Data Analyst,90000,USD,90000.0,US,100,US,M
2025,Mid,FT,Data Analyst,75000,USD,75000.0,US,100,US,M
2025,Senior,FT,Data Architect,218657,USD,218657.0,US,100,US,M
2025,Senior,FT,Data Architect,149084,USD,149084.0,US,100,US,M
2025,Mid,FT,Data Engineer,222000,USD,222000.0,US,100,US,M
